Function,Category,Subcategory_ID,Subcategory_Description,SP800_53_Controls
Identify (ID),"Asset Management (ID.AM): The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization’s risk strategy.",ID.AM-1,Physical devices and systems within the organization are inventoried,"CM-8, PM-5"
Identify (ID),"Asset Management (ID.AM): The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization’s risk strategy.",ID.AM-2,Software platforms and applications within the organization are inventoried,CM-8
Identify (ID),"Asset Management (ID.AM): The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization’s risk strategy.",ID.AM-3,Organizational communication and data flows are mapped,"AC-4, CA-3, CA-9, PL-8, SA-17"
Identify (ID),"Asset Management (ID.AM): The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization’s risk strategy.",ID.AM-4,External information systems are catalogued,"AC-20, PM-5, SA-9"
Identify (ID),"Asset Management (ID.AM): The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization’s risk strategy.",ID.AM-5,"Resources (e.g., hardware, devices, data, time, personnel, and software) are prioritized based on their classification, criticality, and business value ","CP-2, RA-2, RA-9, SA-20, SC-6"
Identify (ID),"Asset Management (ID.AM): The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization’s risk strategy.",ID.AM-6,"Cybersecurity roles and responsibilities for the entire workforce and third-party stakeholders (e.g., suppliers, customers, partners) are established","CP-2, PS-7, PM-2, PM-29"
Identify (ID),"Business Environment (ID.BE): The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions.",ID.BE-1,The organization’s role in the supply chain is identified and communicated,"SR-1, SR-3"
Identify (ID),"Business Environment (ID.BE): The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions.",ID.BE-2,The organization’s place in critical infrastructure and its industry sector is identified and communicated,PM-8
Identify (ID),"Business Environment (ID.BE): The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions.",ID.BE-3,"Priorities for organizational mission, objectives, and activities are established and communicated",PM-11
Identify (ID),"Business Environment (ID.BE): The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions.",ID.BE-4,Dependencies and critical functions for delivery of critical services are established,"CP-2, CP-8, PE-9, PE-11, PM-8, RA-9, SA-20, SR-2"
